id,titulo_producto,autor,categoria,lanzamiento,imagen,descripcion,precio
1,Inteligencia Artificial: Conceptos y Programas,Tim Hartnell,informatica programacion inteligenciaartificial codigo,1985,https://trastero.speccy.org/cosas/Libros/Inteligencia_Artificial.jpg,Es un libro que explica cómo se inició el tema de Inteligencia Artificial y con programas de Basic de 1985 cómo resolver varios ejercicios,1000
2,Historia y misterio de los Templarios,Martin Walker,historia humanidad pueblos edadmedia,2018,https://http2.mlstatic.com/D_NQ_NP_829607-MLA28029581869_082018-O.jpg,Es un libro dividido en dos partes. Primero la Historia desde la creación de los Templarios hasta su final. Y luego intenta resolver el misterio que dejaron.,2400
3,Rubí,Kerstin Gier,romance cienciaficcion,2009,http://2.bp.blogspot.com/-FzukhWxuqIM/TmyvYGgHbfI/AAAAAAAAAao/J2MH-EPeheI/s1600/1+Rub%25C3%25AD.jpg,"En casa de Gwendolyn Sheperd nada ni nadie es del todo “normal”, empezando por su excéntrica (¡y cotilla!) tía abuela Maddy, que tiene extrañas visiones, pasando por Lucy, que se escapó de casa hace 17 años sin dejar rastro alguno... Y para acabar, también está Charlotte, su encantadora y (rabiosamente) perfecta prima, quien, según parece, ha heredado un extraño gen familiar que le permitirá viajar en el tiempo. Pero un increíble secreto está a punto de salir a la luz: la portadora del misterioso gen para viajar a través del tiempo no es Charlotte, ¡sino la propia Gwen! Ella es, en realidad, la duodécima (¡y la última!) viajera en el tiempo y se dice que cuando su sangre se una a la de los otros once viajeros, se cerrará el misterioso “Círculo de los doce”. Para obtener más información, Gwen deberá viajar al pasado y por suerte o por desgracia, no lo hará sola: la acompañará el undécimo viajero en el tiempo, el arrogante, atractivo y sarcástico Gideon, con quien va a vivir algo más que una peligrosa carrera a través del tiempo…",3661
4,El guardian entre el centeno,J. D. Salinger,Ficción adulto joven Coming-of-age Realismo literario,1951,https://imagessl9.casadellibro.com/a/l/t5/09/9788420674209.jpg,"Holden Caulfield es el primer adolescente real de la literatura. El protagonista de 'El guardián entre el centeno' es un chaval normal que vive en la Nueva york de postguerra, lleno de dudas y miedos, enfrentado a un fracaso escolar que le frustra, con unos deseos alejados de la realidad, mediocre y, por tanto, extremadamente especial en su normalidad. Un personaje que el tiempo ha convertido en un referente. En el espejo de millones de jóvenes que se sienten abrumados ante la visión de una edad adulta que les exige mucho y les ofrece más bien poco.",1687
5,Las malas,Camila Sosa Villada,novela drama,2019,https://static2planetadelibroscom.cdnstatics.com/usuaris/libros/fotos/295/original/294293_portada_las-malas__201901181333.jpg,"Cuando llegó a Córdoba capital para estudiar en la universidad, Camila Sosa Villada fue una noche, muerta de miedo, a espiar a las travestis del Parque Sarmiento y encontró su primer lugar de pertenencia en el mundo. Las malas es un rito de iniciación, un cuento de hadas y de terror, un retrato de grupo, un manifiesto explosivo, una visita guiada a la imaginación de su autora y una crónica distinta de todas. En su adn convergen las dos facetas trans que más repelen y aterran a la buena sociedad: la furia travesti y la fiesta de ser travesti. En su voz literaria conviven Marguerite Duras, Wislawa Szymborska y Carson McCullers, con tonada cordobesa. Las malas es esa clase de libro que, en cuanto terminamos de leer, queremos que lo lea el mundo entero.","$1,560"
6,Los juegos del hambre,Suzanne Collins,juvenil cienciaficcion,2008,https://contentv2.tap-commerce.com/cover/large/9789878120249_1.jpg?id_com=1113,"En una oscura versión del futuro próximo, doce chicos y doce chicas se ven obligados a participar en un reality show llamado Los Juegos del Hambre. Solo hay una regla: matar o morir. Cuando Katniss Everdeen, una joven de dieciséis años se presenta voluntaria para ocupar el lugar de su hermana en los juegos, lo entiende como una condena a muerte. Sin embargo, Katniss ya ha visto la muerte de cerca y la supervivencia forma parte de su naturaleza.",1800
7,Lore,Alenxandra Bracken ,juvenil ,2020,https://contentv2.tap-commerce.com/cover/large/9789874132468_1.jpg?id_com=1113,"Cada siete años comienza el agon. Como castigo por la rebelión, nueve dioses griegos son forzados a caminar por la Tierra, entre los mortales, mientras son perseguidos por cazadores, descendientes de antiguos linajes, con ansias de matar a un dios y hacerse con su poder divino e inmortalidad. Hace mucho tiempo, Lore Perseus huyo de esa competición brutal a raíz del sadico asesinato de su familia por parte de un linaje rival, y dejo atras las promesas de la caza de la gloria eterna. Durante años ha intentado evadir cualquier pensamiento de venganza hacia el hombre -ahora un dios- responsable de la muerte de su familia. Sin embargo, durante el último agon en Nueva York, dos participantes le piden ayuda: Castor, su amigo de la infancia, a quien creía muerto y Atenea, una de las últimas diosas originales, gravemente herida. La diosa le ofrece una alianza contra su enemigo común y, además, una forma de que Lore pueda dejar el agon en el pasado para siempre. Pero la decisión de Lore de vincular su destino al de Atenea y volver a unirse a la caza tendrá un coste mortal, y puede que no sea suficiente para detener la aparición de un nuevo dios con el poder de poner a la humanidad de rodillas.",1990
8,La lección de August,R.J. Palacio,drama,2012,https://librotea.elpais.com/wp-content/uploads/2019/05/23/11/42/1250d10a27cb02439bb486968c467068.jpg,"Este libro trata de un niño, August, que nació con una enfermedad que le deformó la cara. Por esta misma enfermedad tuvo complicaciones desde pequeño y no era posible para él atender a la escuela. Pero en quinto grado, sus padres decidieron inscribirlo. ",2002
9,1984,George Orwell,novela ficciondistopica,1949,https://imagessl4.casadellibro.com/a/l/t5/44/9788499890944.jpg,"Es una novela de distopía cuya trama ocurre en Oceanía, un país dominado por un gobierno totalitario que mantiene en constante vigilancia a sus ciudadanos e, incluso, insiste en espiar sus pensamientos para mantener el orden.",1500
10,Un mundo feliz,Aldous Huxley,ficciondistopica tecnologiareproductiva cultivoshumanos hipnopedia,1932,https://http2.mlstatic.com/D_NQ_NP_701785-MLA44060826577_112020-O.webp,"Es una novela que ha sido publicada en el año 1932 por el escritor británico Aldous Huxley, en la cual nos muestra un mundo futuro y utópico, donde la guerra y la pobreza han sido superadas, reinando el bienestar y la paz, siendo todos permanentemente felices a pesar de haber eliminado ciertos rasgos que hoy para nosotros son esenciales, como la familia, la religión, la diversidad, la ciencia, etc.",1000
