id,titulo_producto,autor,categoria,lanzamiento,imagen,descripcion,precio
1,Asylum,Tim Hartnell,terror,1985,https://images.cdn2.buscalibre.com/fit-in/360x360/d2/90/d290b0b0d84a71f34589c7b84abb1248.jpg,Un thriller psicológico y con él se da comienzo a la nueva saga de la autora best-seller del New York Times Madeleine Roux. Para Dan Crawford el programa de verano para alumnos sobresalientes es una oportunidad única.,1000
2,It,Stephen King,terror,2018,https://www.popularlibros.com/imagenes.webp_grandes/9788497/978849759379.webp,It es una novela de terror publicada en 1986 por el escritor estadounidense Stephen King. Cuenta la historia de un grupo de siete niños que son aterrorizados por un malvado monstruo.,2400
13,La Maldición de Hill House,Shirley Jackson,terror,1959,https://images.cdn3.buscalibre.com/fit-in/360x360/d8/b9/d8b9766c515b16791f03bbd3ca76d942.jpg,The Haunting of Hill House es una novela de la escritora estadounidense Shirley Jackson.,2.000
14,Dracula,Bram Stoker,terror,1996,https://images.cdn3.buscalibre.com/fit-in/360x360/7b/b8/7bb83825acc199623e3177d6c44b9319.jpg,Drácula es una novela publicada en 1897 por el irlandés Bram Stoker a raíz de la cual su personaje antagonista el conde Drácula se volvió el arquetipo de vampiro occidental por antonomasia llegando a ser considerado el vampiro más famoso,1200
15,Gato Negro,Edgar Allan Poe,terror,1997,https://http2.mlstatic.com/D_NQ_NP_975651-MLA29523468117_022019-O.jpg,El gato negro es un cuento de horror del escritor estadounidense Edgar Allan Poe publicado en el periódico Saturday Evening Post de Filadelfia en su número del 19 de agosto de 1843.,1450
16,El visitante,Stephen King,terror,1954,https://images.cdn3.buscalibre.com/fit-in/360x360/76/6a/766aecf06804f6d829c5c70538013374.jpg,El visitante es una novela de terror del escritor estadounidense Stephen King publicada el 22 de mayo de 2018 por Charles Scribner's Sons,1450
17,El Monje,M.A Bennet,terror,2017,https://1.bp.blogspot.com/-B2xZxvqlaKc/WSjqeJvr7GI/AAAAAAAAJw8/f9p6bJXVP7wQ0gv7qItrZAExhbudIznFgCEw/s1600/cover-995_zpsff408726.jpg,El monje es una novela gótica escrita por Matthew Gregory Lewis,1200
18,El retrato de Dorian Gray,Oscar Wilde,terror,1719,https://covers.alibrate.com/b/59872e96cba2bce50c1be223/feb45ddc-fbcc-46cb-ae9a-5a644b9d0c48/share,Es una novela escrita por el autor irlandés Oscar Wilde.,1.500
19,Carmilla,José Hernández,terror,1872,https://global-uploads.webflow.com/6034d7d1f3e0f52c50b2adee/60463d34a41e5e5d28298af9_9788418395024_Carmilla_(Cl%C3%A1sicos%20Ilustrados)_COVER.jpg,Es una novela corta escrita por Sheridan Le Fanu en 1872.,2.100
20,La Casa Infernal ,Lucy Maud Montgomery,novela,1906,https://images-na.ssl-images-amazon.com/images/I/81JS1fX6QyL.jpg,Es una novela del escritor estadounidense Richard Matheson publicada en 1971.,3.502
21,The Turn of the Screw,Henry James,novela,1869,https://m.media-amazon.com/images/I/41ejzUataWL.jpg,The Turn of the Screw traducida al español como Otra vuelta de tuerca y también como la vuelta de tuerca.,3.449
22,Soy Leyenda,Richard Mathenson's,terror,2018,https://4.bp.blogspot.com/-_8U5Csig_0g/TqVLcMJQlbI/AAAAAAAAASE/Pxo5aHxSAeg/s1600/Soy+Legenda+Original.jpg,Es una novela de terror suspenso y ciencia ficción escrita por Richard Matheson y publicada en 1954.,2500
23,Carrie,Maurice Leblanc,policial,1987,https://images-na.ssl-images-amazon.com/images/I/51tQtH9K2NL.jpg,Es la primera novela publicada por el escritor estadounidense Stephen King en 1974.​ Es uno de los libros más censurados en las escuelas de EE. UU. y la película incluso estuvo prohibida en Finlandia.,1770
21,Misery,Stephen King,Terror,2018,https://1.bp.blogspot.com/-KObYZEgaSQU/XZEu5bFtPeI/AAAAAAAACPs/9ba98mWOVLMIOHPYjpWz6QKzNhfVzbF4gCNcBGAsYHQ/s1600/d2859cbce81be8e7fd62cf585da22b67.jpg,Esta es una novela por parte del famoso autor Stephen King,5000
21,Corazón delator,Stephen King,Terror,2021,https://images.bajalibros.com/X0LWDdaSXV9fwWYsQ6eUwaok8uw=/fit-in/292x446/filters:fill(f8f8f8):quality(90):format(webp)/d2d6tho5fth6q4.cloudfront.net/851ac4d1898aacf27ce17a883eec9c5041425228_9789877992069_cover.jpg,El cuento es relatado por un narrador que insiste desde el primer momento en que es una persona normal,500
